March,,,,,,,,,,,,,,,,,,,,,,,,,
Data' Post,Link' Post,Type Of Content,Mykyta Business,,,,,,Data' Post,Link' Post,Type Of Content,Mykyta Personal,,,,,,Data' Post,Link' Post,Type Of Content,Company Page,,,,
-,-,-,Views,Reactions,Comments,Reposts,New Followers,,-,-,-,Views,Reactions,Comments,Reposts,New Followers,,-,-,-,Views,Reactions,Comments,Reposts,New Followers
19.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_self-doubt-gets-a-bad-reputation-in-leadership-activity-7440298559100522496-ECKf?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Knowledge,154,3,-,-,-,,19.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_in-wellness-tech-collecting-less-data-isn-activity-7440333761055125504-xKyX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Knowledge,209,7,-,-,1,,19.03.2026,https://www.linkedin.com/feed/update/urn:li:activity:7440309818780880897,LI Company Post,93,1,-,-,-
23.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_a-few-months-ago-our-support-team-started-activity-7441744321499877376-NaJk?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Company Post,90,1,-,-,-,,23.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_when-youre-building-a-wellness-focused-company-activity-7441759408054927360-trau?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,194,8,-,-,-,,23.03.2026,https://www.linkedin.com/feed/update/urn:li:activity:7441755748641968128,LI Useful Post,62,2,-,-,-
25.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_leadership-strategy-wellness-activity-7442480422464253952-bu4R?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,74,1,-,-,-,,25.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_founderlife-decisionmaking-wellnesstech-activity-7442476693019258880-QWbT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,218,8,-,-,-,,25.03.2026,https://www.linkedin.com/feed/update/urn:li:activity:7442472954174570496,LI Useful Post,126,2,1,-,-
26.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_ive-noticed-something-in-both-business-and-activity-7442835255415390208-b3mZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Knowledge,91,2,-,-,-,,26.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_the-first-thing-i-do-in-any-new-city-find-activity-7442846567696351232-raJC?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,263,8,-,-,-,,26.03.2026,https://www.linkedin.com/feed/update/urn:li:activity:7442843168993226752,LI Useful Post,78,4,-,-,-
30.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_many-people-tie-ambition-to-money-the-idea-activity-7444262151915028480-6Jnw?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Personal Post Stor,215,1,-,-,-,,30.03.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_deep-focus-activity-7444273504960565248-_McY?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Stor,252,6,-,-,-,,30.03.2026,https://www.linkedin.com/feed/update/urn:li:activity:7444269754137067520,LI Case Post,101,3,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,
Data' Post,Link' Post,Type Of Content,Mykyta Business,,,,,,Data' Post,Link' Post,Type Of Content,Mykyta Personal,,,,,,Data' Post,Link' Post,Type Of Content,Company Page,,,,
-,-,-,Views,Reactions,Comments,Reposts,New Followers,,-,-,-,Views,Reactions,Comments,Reposts,New Followers,,-,-,-,Views,Reactions,Comments,Reposts,New Followers
01.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross-wellness_wellnesstech-userexperience-empathyindesign-activity-7445009680617312256-dpWm?utm_source=share&utm_medium=member_desktop&rcm=ACoAACKi8XsB9WBoWK1z6g7nRgrBaW3-4QoyJT8,LI Company Post,100,1,-,-,-,,01.04.2026,https://www.linkedin.com/posts/mykyta-shevchenko-ciphercross_most-wellness-apps-dont-fail-because-of-activity-7445002568558075905-mnJC?utm_source=share&utm_medium=member_desktop&rcm=ACoAAD1GaXQBLC3IwzuWDrLQoIsrw5Y1tC2y1Xs,LI Personal Post Knowledge,460,14,2,-,3,,01.04.2026,https://www.linkedin.com/feed/update/urn:li:activity:7445005820708245505,LI Case Post,36,2,-,-,-
